coin_id,date,open_usd,high_usd,low_usd,close_usd,volume_usd,market_cap_usd,extracted_at
tether,2026-05-03,0.999813,0.999911,0.999388,0.999883,32118823220.94329,189562481072.2766,2026-05-14 21:45:28
tether,2026-05-07,0.99985,0.99996,0.999681,0.999862,78462932966.56517,189548862742.03592,2026-05-14 21:45:28
tether,2026-05-11,0.999861,1.001,0.999691,0.999852,57923937489.876076,189662115239.26886,2026-05-14 21:45:28
binancecoin,2026-02-12,636.18,640.87,587.7,607.01,,,2026-05-14 21:45:32
binancecoin,2026-02-16,607.4,640.72,592.73,614.28,983279792.7361963,83775714874.3921,2026-05-14 21:45:32
binancecoin,2026-02-20,614.77,630.22,597.23,607.15,891516182.014514,82785340522.44412,2026-05-14 21:45:32
binancecoin,2026-02-24,607.38,633.75,585.83,595.84,1553730225.5898428,81249250726.1992,2026-05-14 21:45:32
binancecoin,2026-02-28,596.33,637.54,577.87,613.97,1166358389.1914895,83730647972.7378,2026-05-14 21:45:32
binancecoin,2026-03-04,613.96,651.06,589.68,633.92,1288690976.9448144,86482998750.86174,2026-05-14 21:45:32
binancecoin,2026-03-08,633.48,664.89,619.21,620.13,509923883.2711651,84564372980.5224,2026-05-14 21:45:32
binancecoin,2026-03-12,620.29,655.24,609.71,651.44,968330794.4655601,88842234614.88629,2026-05-14 21:45:32
binancecoin,2026-03-16,651.56,678.17,642.38,673.78,850791964.7012388,91853204145.78893,2026-05-14 21:45:32
binancecoin,2026-03-20,675.64,685.59,633.79,638.95,1092257056.730614,87094846579.00471,2026-05-14 21:45:32
binancecoin,2026-03-24,639.22,648.31,621.57,638.7,1699315951.250889,87032729469.62123,2026-05-14 21:45:32
binancecoin,2026-03-28,639.01,652.09,606.09,613.17,971768711.8095019,83593345118.95567,2026-05-14 21:45:32
binancecoin,2026-04-01,613.36,620.05,598.48,616.77,1116226014.1060407,84079306293.21768,2026-05-14 21:45:32
binancecoin,2026-04-05,617.06,620.32,570.62,593.37,495007925.0437973,80890979536.74782,2026-05-14 21:45:32
binancecoin,2026-04-09,593.35,623.27,587.6,601.18,1218951620.0366716,81972951877.29778,2026-05-14 21:45:32
binancecoin,2026-04-13,600.49,614.05,589.52,592.4,980521715.6102328,80756512794.08296,2026-05-14 21:45:32
binancecoin,2026-04-17,592.61,636.82,592.61,635.85,1314496013.551181,85668783351.65327,2026-05-14 21:45:32
binancecoin,2026-04-21,636.57,648.56,615.76,629.47,1014361415.3956897,84838835154.5703,2026-05-14 21:45:32
binancecoin,2026-04-25,630.17,652.07,626.1,636.48,845809600.6974201,85788898519.82469,2026-05-14 21:45:32
binancecoin,2026-04-29,636.38,639.5,619.7,624.45,735423238.3481972,84124647237.12154,2026-05-14 21:45:32
binancecoin,2026-05-03,624.52,629.21,611.16,617.87,579985004.5637518,83269020349.44923,2026-05-14 21:45:32
binancecoin,2026-05-07,618.1,660.09,615.18,647.7,1871488630.0647337,87292375424.40376,2026-05-14 21:45:32
binancecoin,2026-05-11,648.31,666.08,634.39,664.19,797538964.7526813,89579322938.25858,2026-05-14 21:45:32
solana,2026-02-12,86.71,87.27,78.35,79.27,,,2026-05-14 21:46:36
solana,2026-02-16,79.21,90.96,76.81,85.94,4348972609.458301,48819352379.51161,2026-05-14 21:46:36
solana,2026-02-20,85.99,87.41,79.82,82.33,3082347845.3774166,46788887236.61634,2026-05-14 21:46:36
solana,2026-02-24,82.38,86.6,77.32,77.74,5278871884.141234,44218639145.17957,2026-05-14 21:46:36
solana,2026-02-28,77.76,90.65,76.1,81.97,4075158244.6100698,46589974108.0842,2026-05-14 21:46:36
